Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10534,The Art of War,Sun Tzu,"Tzu, Sun","Thomas Cleary, Pulat Otkan, Giray Fidan","=""1590302257""","=""9781590302255""",2,3.97,Shambhala,Paperback,273,2005,-500,2020/10/15,2020/08/07,,,read,"Quite a literal and dry collection of military strategies based on the battlefield geography, army management and other factors.  Didn’t find it a majority of content to be broadly applicable to daily life. Seems overrated.",,,1,,,0,,,,,
682772,Dilbert Gives You the Business,Scott Adams,"Adams, Scott",,"=""0740700030""","=""9780740700033""",0,3.95,Andrews McMeel Publishing,Paperback,224,1999,1999,,2020/10/13,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
10673823,"The Google Resume: How to Prepare for a Career and Land a Job at Apple, Microsoft, Google, or Any Top Tech Company",Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""0470927623""","=""9780470927625""",0,3.77,John Wiley & Sons,Hardcover,280,2011,2011,,2020/08/08,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
703101,The AWK Programming Language,Alfred V. Aho,"Aho, Alfred V.","Brian W. Kernighan, Peter J. Weinberger","=""020107981X""","=""9780201079814""",0,4.25,Pearson,Paperback,224,1988,1988,,2020/05/14,to-read,to-read (#148),to-read,,,,0,,,0,,,,,
17276771,"The Haskell Road to Logic, Maths and Programming. Second Edition",Kees Doets,"Doets, Kees",Van Jan Eijck,"=""1954300697""","=""9781954300699""",0,3.66,College Publications,Paperback,450,2004,2004,,2020/08/10,to-read,to-read (#147),to-read,,,,0,,,0,,,,,
27738521,Guide to NumPy,Travis E. Oliphant,"Oliphant, Travis E.",,"=""151730007X""","=""9781517300074""",2,3.50,Createspace Independent Publishing Platform,Paperback,366,2015,,2020/09/18,2020/08/13,,,read,"I glanced over large sections of this book as they were written like software documentation. I thought this book would talk about the nuances of design choices and some bit of history for Numpy development as it was written by a founding member of Numpy team. This was however a very dry piece of software documentation. I did learn something out of it, but this wasn't anything more than a reference documentation.",,,1,,,0,,,,,
36073585,Ikigai: The Japanese secret to a long and happy life,Hector Garcia Puigcerver,"Puigcerver, Hector Garcia",Francesc Miralles,"=""""","=""""",3,3.66,Cornerstone Digital,Kindle Edition,208,2017,2016,2020/09/17,2020/08/08,,,read,,,,1,,,0,,,,,
50996057,The Developer's Guide to Content Creation,Stephanie Morillo,"Morillo, Stephanie",,"=""""","=""""",0,4.27,,ebook,114,2020,,,2020/09/14,to-read,to-read (#146),to-read,,,,0,,,0,,,,,
53066987,Permanent Roommates,The Viral Fever,"Fever, The Viral",,"=""""","=""""",4,3.83,Audible Studios,Audible Audio,300,2020,,2020/09/12,2020/08/18,,,read,"The events of this book seem to happen after Season 1 and before Season 2, which is great because Season 2 was really bad. This (audio) book was a nice little experiment from TVF, fun and entertaining !!",,,1,,,0,,,,,
12544648,Cracking the Coding Interview: 150 Programming Questions and Solutions,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""1466208686""","=""9781466208681""",0,4.35,Createspace,Paperback,500,2011,2008,,2020/08/27,to-read,to-read (#145),to-read,,,,0,,,0,,,,,
85009,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,"Gamma, Erich","Ralph Johnson, John Vlissides, Richard Helm","=""0201633612""","=""9780201633610""",0,4.18,Addison-Wesley Professional,Hardcover,416,1994,1994,,2020/08/22,to-read,to-read (#144),to-read,,,,0,,,0,,,,,
21487480,If Hemingway Wrote JavaScript,Angus Croll,"Croll, Angus",,"=""1593275854""","=""9781593275853""",0,4.16,Penguin Random House LLC (No Starch),Paperback,200,2014,2014,,2020/08/15,to-read,to-read (#143),to-read,,,,0,,,0,,,,,
17085796,Learn You a Haskell for Great Good!: A Beginner's Guide,Miran Lipovača,"Lipovača, Miran",,"=""1593273614""","=""9781593273613""",0,4.30,No Starch Press,ebook,400,2011,2011,,2020/06/02,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
20014648,Discrete Mathematics Using a Computer,John O'Donnell,"O'Donnell, John","Cordelia Hall, Rex Page","=""""","=""""",0,0.0,Springer,Kindle Edition,441,2006,2006,,2020/08/10,to-read,to-read (#142),to-read,,,,0,,,0,,,,,
5190233,Discrete Mathematics Using a Computer,Cordelia Hall,"Hall, Cordelia",John M. O'Donnell,"=""1852330899""","=""9781852330897""",0,0.0,Springer,Paperback,339,2000,2000,,2020/08/10,to-read,to-read (#141),to-read,,,,0,,,0,,,,,
18568911,Think Bayes: Bayesian Statistics in Python,Allen B. Downey,"Downey, Allen B.",,"=""1491945419""","=""9781491945414""",0,3.85,O'Reilly Media,ebook,214,2013,2012,,2018/12/02,to-read,to-read (#140),to-read,,,,0,,,0,,,,,
27064573,Bayesian Methods for Hackers: Probabilistic Programming and Bayesian Inference,Cameron Davidson-Pilon,"Davidson-Pilon, Cameron",,"=""0133902900""","=""9780133902907""",3,4.12,Addison-Wesley Professional,ebook,256,2015,2014,2020/08/08,2020/03/22,,,read,"Before starting the book, I thought it was trying to make statistics, and especially Bayesian statistics, easier to pick up for developers with little stats background. On the other hand, I found the discussion on Bayesian methods fairly difficult to follow, especially in the later chapters.<br/><br/>Also, the library PyMC3 has dependency on Theano which is now deprecated. A Tensorflow for Probability version of these chapters is available on Github and learning about that was interesting.<br/>I did learn about some powerful new ideas and it would be interesting to see more research in this space, but for now, I don't see much use of these techniques in my day-to-day ML projects.<br/>",,,1,,,0,,,,,
45144432,Think Julia: How to Think Like a Computer Scientist,Ben Lauwens,"Lauwens, Ben",Allen B Downey,"=""1492044989""","=""9781492044987""",0,3.75,O'Reilly Media,ebook,298,2019,,,2020/05/14,to-read,to-read (#122),to-read,,,,0,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,"=""""","=""""",4,3.92,Scribner,Paperback,200,2004,1925,2020/08/01,2016/10/14,,,read,,,,1,,,0,,,,,
83884,Paradigms of Artificial Intelligence Programming: Case Studies in Common LISP,Peter Norvig,"Norvig, Peter",,"=""1558601910""","=""9781558601918""",0,4.32,Morgan Kaufmann Publishers,Paperback,946,1991,1991,,2020/07/27,to-read,to-read (#139),to-read,,,,0,,,0,,,,,
112255,Essentials of Programming Languages,Daniel P. Friedman,"Friedman, Daniel P.","Mitchell Wand, Christopher T. Haynes","=""0262062178""","=""9780262062176""",0,3.97,MIT Press,Hardcover,389,2001,1992,,2020/07/27,to-read,to-read (#138),to-read,,,,0,,,0,,,,,
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",0,4.40,Prentice Hall,Paperback,434,2008,2007,,2020/07/27,to-read,to-read (#137),to-read,,,,0,,,0,,,,,
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",0,4.18,Bantam Books,Paperback,212,1998,1988,,2019/02/12,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
36365702,"The Imposter's Handbook (Imposter's Handbook, #1)",Rob Conery,"Conery, Rob",,"=""""","=""""",0,3.83,Big Machine,ebook,,2016,2016,,2020/05/02,to-read,to-read (#136),to-read,,,,0,,,0,,,,,
22847284,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,"Bhargava, Aditya Y.",,"=""1617292230""","=""9781617292231""",4,4.42,Manning Publications Co,Paperback,256,2015,2015,2020/07/27,2020/06/04,,,read,,,,1,,,0,,,,,
34715193,Beautiful Racket,Matthew Butterick,"Butterick, Matthew",,"=""""","=""""",0,4.11,,ebook,,2017,,,2020/07/12,to-read,to-read (#135),to-read,,,,0,,,0,,,,,
53639,Zorba the Greek,Nikos Kazantzakis,"Kazantzakis, Nikos","Carl Wildman, Nikos Kazancakis","=""0571203132""","=""9780571203130""",4,4.07,Faber and Faber,Paperback,335,2000,1946,2020/07/10,2017/09/18,,,read,,,,1,,,0,,,,,
